SOLE PROPRIETORSHIP		ASP	 SOLE PROPRIETORSHIP 
SOLE PROPRIETOR		ASP	 SOLE PROPRIETOR 
SOLE PROP		ASP	 SOLE PROP 
CO.			 CO. 
CO OPERATIVE			 CO OPERATIVE 
CO OPERATIVES			 CO OPERATIVES 
COOPERATIVE			 COOPERATIVE 
COOPERATIVES			 COOPERATIVES 
CO OP			 CO OP 
COMPANY			 COMPANY 
COMPNAY			 COMPNAY 
COMPANIES			 COMPANIES 
COMPAN			 COMPAN 
CORPORATION			 CORPORATION 
COPORATION			 COPORATION 
CORPORTATION			 CORPORTATION 
CORPORATE			 CORPORATE 
CORPORATTION			 CORPORATTION 
BROADCAST			
ET AL PA		ET AL PTR	 ET AL PA 
ET AL P A		ET AL PTR	 ET AL P A 
ET AL GEN PTR		ET AL PTR	 ET AL GEN PTR 
ET AL PTR		ET AL PTR	 ET AL PTR 
ET AL PTRS		ET AL PTR	 ET AL PTRS 
ET AL PTNR		ET AL PTR	 ET AL PTNR 
INC.			
INCORP		INC	 INCORP 
INCORPORATION		INC	 INCORPORATION 
INCORPORATED		INC	 INCORPORATED 
INCORPORAT		INC	 INCORPORAT 
LIMITED		LTD	 LIMITED 
partnership			
LTD PARTNERSHIP		LTD PTR	 LTD PARTNERSHIP 
SHANGHAI		PC	 PROFESSIONAL CORPORATION 
PROFESSIONAL CORPORATION		PC	 PROF CORPORATION  
PROF CORPORATION 		PC	 A PROF CORP 
A PROF CORP		PC	 PROF CORP 
PROF CORP		PTR	 PRT 
PRTSP		PTR	 PRTSHIP 
PRTSHIP		PTR	 PRTSP 
PRT		PTR	 PTN 
PTNRSHIP		PTR	 PTNR 
PTNSHP		PTR	 PTNRS 
PTNRS		PTR	 PTNRSHIP 
PTN		PTR	 PTNSHP 
PTNR		PTR	 PTRS 
PTRS		PTR	 PTRSHP 
PTRSHP		PTR	 PTS 
PTS		PTR	 PTSHIP 
PTSHIP		PTR	 PTSHP 
PTSHP		SC	 SERVICE CORPORATION 
SERVICE CORPORATION		SC	 SERVICE CORP 
SERVICE CORP		SC	 SVC CORP 
SVC CORP		& AFF	 & AFFILIATES 
& AFFILIATES		& AFF	 & AFFILIATED COMPANIES 
& AFFILIATED COMPANIES		& AFF	 & AFFILIATED COS 
& AFFILIATED COS		& AFF	 & AFFILIATED CO 
& AFFILIATED CO		& AFF	 & ITS AFFILIATED COS 
& ITS AFFILIATED COS		& AFF	 & ITS AFFILIATED CO 
& ITS AFFILIATED CO		& SUBS	 & SUBSIDIARIES 
& SUBSIDIARIES		& SUBS	 & SUBSIDIARY 
& SUBSIDIARY		& SUBS	 & ALL OF ITS US SUBSIDIARIES 
& ALL OF ITS US SUBSIDIARIES		& SUBS	 & ITS SUBSIDIARIES 
& ITS SUBSIDIARIES		& SUBS	 & SUBSID 
& SUBSID		DBA	 DBA 
DBA		DBA	 D/B/A 
D/B/A		DBA	 D.B.A. 
D.B.A.		DBA	 D B A  
D B A 		DBA	 T/A 
T/A		FKA	 FKA 
FKA		FKA	 F/K/A 
F/K/A		FKA	 F.K.A. 
F.K.A.		FKA	 F K A  
F K A 		FKA	 FNA 
FNA		FKA	 F/N/A 
F/N/A		FKA	 F.N.A. 
F.N.A.		FKA	 F N A  
F N A 		FKA	 FORMERLY KNOWN AS 
FORMERLY KNOWN AS		FKA	 FORMERLY 
FORMERLY		FKA	 AS SUCCESSOR TO 
AS SUCCESSOR TO		FKA	 SUCCESSOR TO 
SUCCESSOR TO		ATTN	 ATTN 
ATTN		ATTN	 C/O 
C/O		DOTCOM	 .COM 
.COM		APLUS	 A+ 
A+		&	
+		AT	
@			
(			
)			
.			
/			
:			
;			
<			
>			
[			
\			
]			
{			
|			
}			
inc			
ltd			
holdings			
DENMARK			
HOLDING			
llc			
solutions			
co			
corp			
corp.			
","			
at & t			
&			
